at,cpuPercent,memoryMb,throughputPerMin,latencyP50,latencyP95,latencyP99,queuePressure,errorRatio,successRate,activeWorkers
2026-03-01T10:23:00Z,44.9,12461.77,5656.81,127.89,181.34,230.44,0.4198,0.01326,0.92643,9
2026-03-01T10:24:00Z,42.47,12531.41,5594.87,115.49,156.59,197.35,0.2647,0.01309,0.94533,7
2026-03-01T10:25:00Z,44.68,12564.43,5610.08,121.95,167.96,212.3,0.3181,0.01599,0.93386,8
2026-03-01T10:26:00Z,44.89,12558.71,5599.11,124.73,172.52,218.24,0.3328,0.00715,0.94754,8
2026-03-01T10:27:00Z,45.09,12548.44,5597.53,124.86,174.46,221.12,0.3682,0.01133,0.93599,9
2026-03-01T10:28:00Z,48.98,12499.79,5630.06,125.55,170.94,215.6,0.2788,0.00656,0.95506,8
2026-03-01T10:29:00Z,48.12,12495.75,5625.85,112.88,156.38,197.88,0.3383,0.02034,0.92381,9
2026-03-01T10:30:00Z,50.22,12485.91,5607.03,114.35,159.42,201.96,0.3603,0.0046,0.94872,9
2026-03-01T10:31:00Z,44.42,12463.36,5636.19,123.34,170.48,215.63,0.3304,0.01801,0.92883,8
2026-03-01T10:32:00Z,52.16,12539.87,5502.0,159.85,222.71,282.11,0.358,0.02626,0.91107,9
2026-03-01T10:33:00Z,50.12,12553.61,5596.04,125.24,177.27,225.2,0.4136,0.00937,0.93396,10
2026-03-01T10:34:00Z,42.26,12454.16,5610.71,134.21,186.2,235.68,0.3434,0.00234,0.95469,8
2026-03-01T10:35:00Z,41.82,12539.06,5569.05,120.95,164.96,208.13,0.2847,0.00315,0.96031,8
2026-03-01T10:36:00Z,46.36,12556.42,5667.79,140.38,194.24,245.73,0.3342,0.02018,0.92459,8
2026-03-01T10:37:00Z,47.29,12472.22,5657.87,120.56,166.34,210.32,0.3243,0.00458,0.95307,9
2026-03-01T10:38:00Z,40.93,12468.74,5566.01,135.85,186.37,235.4,0.3048,0.00683,0.95148,8
2026-03-01T10:39:00Z,44.59,12449.94,5583.36,116.83,163.28,206.95,0.369,0.00405,0.94863,9
2026-03-01T10:40:00Z,47.05,12462.48,5643.91,120.79,170.46,216.43,0.4031,0.0,0.95163,9
2026-03-01T10:41:00Z,42.69,12494.87,5607.89,128.57,172.56,217.05,0.2304,0.01497,0.94616,7
2026-03-01T10:42:00Z,47.47,12525.29,5664.17,118.97,161.15,203.06,0.2613,0.00915,0.95263,8
2026-03-01T10:43:00Z,42.38,12601.76,5599.48,117.32,163.89,207.7,0.3673,0.01054,0.93748,8
2026-03-01T10:44:00Z,44.36,12484.76,5605.18,139.21,198.57,252.61,0.4411,0.0062,0.93622,9
2026-03-01T10:45:00Z,44.0,12480.8,5591.62,133.23,180.71,227.77,0.2661,0.01443,0.94282,8
2026-03-01T10:46:00Z,49.0,12430.3,5589.36,126.18,172.14,217.2,0.2857,0.00588,0.95543,8
2026-03-01T10:47:00Z,39.69,12405.09,5600.46,111.86,153.6,194.05,0.3078,0.02059,0.92703,7
2026-03-01T10:48:00Z,45.73,12445.55,5646.34,114.88,156.87,197.97,0.2889,0.00892,0.94972,8
2026-03-01T10:49:00Z,46.07,12450.64,5490.18,139.37,198.15,251.93,0.4293,0.02124,0.91132,9
2026-03-01T10:50:00Z,38.12,12545.25,5593.76,121.69,166.5,210.2,0.2956,0.00818,0.95021,7
2026-03-01T10:51:00Z,48.59,12480.97,5505.88,144.3,197.56,249.45,0.2977,0.02751,0.91614,8
2026-03-01T10:52:00Z,46.55,12377.38,5619.16,121.66,164.36,207.0,0.2524,0.0,0.96971,8
2026-03-01T10:53:00Z,34.1,12441.43,5567.22,122.78,164.93,207.48,0.2331,0.01096,0.95285,6
2026-03-01T10:54:00Z,38.86,12404.67,5563.83,111.38,152.77,192.96,0.3041,0.00268,0.95882,7
2026-03-01T10:55:00Z,38.61,12510.39,5587.68,115.12,155.12,195.27,0.2436,0.01427,0.9458,7
2026-03-01T10:56:00Z,33.63,12415.47,5540.08,110.84,152.28,192.4,0.3098,0.00484,0.95434,7
2026-03-01T10:57:00Z,40.52,12486.25,5541.38,122.56,163.23,205.02,0.2048,0.0,0.97543,7
2026-03-01T10:58:00Z,41.38,12470.6,5434.52,124.43,168.05,211.63,0.2513,0.02469,0.92663,7
2026-03-01T10:59:00Z,40.87,12382.69,5534.8,105.03,145.97,184.82,0.3497,0.0107,0.93932,8
2026-03-01T11:00:00Z,37.5,12384.16,5469.88,136.57,189.08,239.24,0.3363,0.01808,0.92802,7
2026-03-01T11:01:00Z,40.4,12377.09,5541.92,109.18,145.49,182.75,0.2063,0.01083,0.95629,7
2026-03-01T11:02:00Z,38.03,12403.32,5492.34,110.65,149.67,188.54,0.2565,0.00542,0.95974,7
2026-03-01T11:03:00Z,36.56,12405.49,5537.02,117.64,156.56,196.61,0.2023,0.01643,0.94697,6
2026-03-01T11:04:00Z,37.87,12386.86,5511.93,111.43,147.82,185.52,0.1915,0.00845,0.96224,6
2026-03-01T11:05:00Z,35.36,12417.76,5594.16,124.09,160.41,200.28,0.1067,0.01426,0.96225,5
2026-03-01T11:06:00Z,35.19,12531.37,5589.83,98.87,130.88,164.19,0.1845,0.00925,0.96168,6
2026-03-01T11:07:00Z,38.93,12464.42,5553.08,108.27,151.13,191.51,0.3649,0.0079,0.94239,8
2026-03-01T11:08:00Z,40.05,12476.49,5534.92,111.61,146.33,183.22,0.1528,0.00527,0.97244,6
2026-03-01T11:09:00Z,39.19,12473.18,5563.92,114.49,150.68,188.82,0.1653,0.00185,0.97693,6
2026-03-01T11:10:00Z,37.26,12381.01,5584.19,121.84,167.03,210.95,0.3024,0.00742,0.95073,7
2026-03-01T11:11:00Z,35.13,12468.58,5584.75,121.71,164.55,207.27,0.2549,0.00513,0.96043,6
2026-03-01T11:12:00Z,41.8,12465.26,5611.14,114.03,158.63,200.88,0.3527,0.01096,0.93849,8
2026-03-01T11:13:00Z,44.52,12426.73,5571.04,104.98,145.18,183.65,0.3322,0.00922,0.944,8
2026-03-01T11:14:00Z,44.04,12497.77,5601.97,117.4,165.45,210.02,0.3983,0.00371,0.94572,9
2026-03-01T11:15:00Z,41.88,12458.21,5618.68,122.27,167.68,211.78,0.3034,0.0083,0.94908,8
2026-03-01T11:16:00Z,40.62,12512.68,5597.34,132.56,172.32,215.4,0.125,0.01087,0.96598,6
2026-03-01T11:17:00Z,48.29,12487.65,5480.97,139.85,198.38,252.12,0.4213,0.03041,0.89623,9
2026-03-01T11:18:00Z,40.8,12460.91,5658.81,120.55,166.54,210.63,0.3287,0.01214,0.93931,8
2026-03-01T11:19:00Z,47.62,12611.52,5625.59,116.45,161.21,203.96,0.3358,0.00712,0.94726,9
2026-03-01T11:20:00Z,43.96,12538.26,5566.95,137.53,192.81,244.51,0.3798,0.00891,0.93883,9
2026-03-01T11:21:00Z,44.87,12452.93,5677.99,137.93,186.37,234.73,0.253,0.0013,0.96736,8
2026-03-01T11:22:00Z,45.43,12470.8,5627.16,126.75,175.68,222.33,0.3402,0.01705,0.92934,8
